year,month,month_num,count
2009,Jan,1,44
2009,Feb,2,54
2009,Mar,3,49
2009,Apr,4,46
2009,May,5,42
2009,Jun,6,43
2009,Jul,7,36
2009,Aug,8,36
2009,Sep,9,51
2009,Oct,10,27
2009,Nov,11,44
2009,Dec,12,39
2010,Jan,1,46
2010,Feb,2,37
2010,Mar,3,36
2010,Apr,4,30
2010,May,5,30
2010,Jun,6,34
2010,Jul,7,30
2010,Aug,8,34
2010,Sep,9,26
2010,Oct,10,34
2010,Nov,11,34
2010,Dec,12,31
2011,Jan,1,34
2011,Feb,2,30
2011,Mar,3,40
2011,Apr,4,25
2011,May,5,27
2011,Jun,6,37
2011,Jul,7,25
2011,Aug,8,39
2011,Sep,9,33
2011,Oct,10,36
2011,Nov,11,43
2011,Dec,12,21
2012,Jan,1,39
2012,Feb,2,45
2012,Mar,3,22
2012,Apr,4,39
2012,May,5,46
2012,Jun,6,42
2012,Jul,7,48
2012,Aug,8,50
2012,Sep,9,54
2012,Oct,10,40
2012,Nov,11,53
2012,Dec,12,29
2013,Jan,1,45
2013,Feb,2,62
2013,Mar,3,61
2013,Apr,4,45
2013,May,5,47
2013,Jun,6,35
2013,Jul,7,47
2013,Aug,8,50
2013,Sep,9,52
2013,Oct,10,52
2013,Nov,11,37
2013,Dec,12,52
2014,Jan,1,60
2014,Feb,2,50
2014,Mar,3,53
2014,Apr,4,60
2014,May,5,58
2014,Jun,6,65
2014,Jul,7,62
2014,Aug,8,80
2014,Sep,9,69
2014,Oct,10,77
2014,Nov,11,67
2014,Dec,12,61
2015,Jan,1,53
2015,Feb,2,46
2015,Mar,3,61
2015,Apr,4,59
2015,May,5,58
2015,Jun,6,71
2015,Jul,7,82
2015,Aug,8,52
2015,Sep,9,65
2015,Oct,10,62
2015,Nov,11,67
2015,Dec,12,62
2016,Jan,1,64
2016,Feb,2,59
2016,Mar,3,80
2016,Apr,4,87
2016,May,5,79
2016,Jun,6,68
2016,Jul,7,72
2016,Aug,8,74
2016,Sep,9,76
2016,Oct,10,69
2016,Nov,11,68
2016,Dec,12,77
2017,Jan,1,69
2017,Feb,2,88
2017,Mar,3,94
2017,Apr,4,66
2017,May,5,110
2017,Jun,6,89
2017,Jul,7,84
2017,Aug,8,118
2017,Sep,9,102
2017,Oct,10,100
2017,Nov,11,97
2017,Dec,12,75
2018,Jan,1,136
2018,Feb,2,116
2018,Mar,3,131
2018,Apr,4,105
2018,May,5,110
2018,Jun,6,95
2018,Jul,7,123
2018,Aug,8,128
2018,Sep,9,127
2018,Oct,10,143
2018,Nov,11,152
2018,Dec,12,129
2019,Jan,1,147
2019,Feb,2,148
2019,Mar,3,140
2019,Apr,4,148
2019,May,5,184
2019,Jun,6,153
2019,Jul,7,183
2019,Aug,8,162
2019,Sep,9,172
2019,Oct,10,170
2019,Nov,11,162
2019,Dec,12,150
2020,Jan,1,181
2020,Feb,2,148
2020,Mar,3,152
2020,Apr,4,131
2020,May,5,149
2020,Jun,6,145
2020,Jul,7,138
2020,Aug,8,125
2020,Sep,9,153
2020,Oct,10,135
2020,Nov,11,126
2020,Dec,12,143
2021,Jan,1,158
2021,Feb,2,172
2021,Mar,3,158
2021,Apr,4,168
2021,May,5,158
2021,Jun,6,153
2021,Jul,7,157
2021,Aug,8,133
2021,Sep,9,156
2021,Oct,10,137
2021,Nov,11,147
2021,Dec,12,112
2022,Jan,1,141
2022,Feb,2,156
2022,Mar,3,159
2022,Apr,4,155
2022,May,5,170
2022,Jun,6,161
2022,Jul,7,174
2022,Aug,8,166
2022,Sep,9,186
2022,Oct,10,151
2022,Nov,11,178
2022,Dec,12,163
2023,Jan,1,207
2023,Feb,2,203
2023,Mar,3,196
2023,Apr,4,167
2023,May,5,170
2023,Jun,6,160
2023,Jul,7,165
2023,Aug,8,176
2023,Sep,9,146
2023,Oct,10,159
2023,Nov,11,162
2023,Dec,12,127
2024,Jan,1,181
2024,Feb,2,158
2024,Mar,3,171
2024,Apr,4,159
2024,May,5,148
2024,Jun,6,129
2024,Jul,7,148
2024,Aug,8,149
2024,Sep,9,140
2024,Oct,10,146
2024,Nov,11,154
2024,Dec,12,123
2025,Jan,1,147
2025,Feb,2,127
2025,Mar,3,143
2025,Apr,4,137
2025,May,5,158
2025,Jun,6,139
2025,Jul,7,161
2025,Aug,8,147
2025,Sep,9,148
2025,Oct,10,142
2025,Nov,11,109
2025,Dec,12,107
