Characteristic,H1_2024_Count,H1_5yr_Mean,H1_Pct_Change,H1_Rate_per_100k,H2_2024_Count,H2_5yr_Mean,H2_Pct_Change,H2_Rate_per_100k,Annual_2024_Count
Total,123,125.4,-2,97,162,125.4,+29,128,285
Female,52,62.8,-17,83,84,65.4,+28,135,136
Male,71,62.6,+13,111,78,59.8,+30,122,149
Unknown,0,0.0,NA,,0,0.2,-100,,0
Aboriginal_TSI,108,111.6,-3,279,144,115.2,+25,372,252
Non_Aboriginal,15,13.6,+10,17,17,9.6,+77,19,32
Aboriginal_Unknown,0,0.2,-100,,1,0.6,+67,,1
Age_Under15,8,3.4,+135,31,5,3.2,+56,19,13
Age_15_24,49,56.0,-12,297,80,68.8,+16,485,129
Age_25_34,23,30.4,-24,97,33,26.8,+23,139,56
Age_35plus,43,35.6,+21,72,44,26.6,+65,73,87
Darwin_Urban,30,24.2,+24,39,46,19.4,+137,60,76
Darwin_Rural,10,13.6,-26,129,9,8.8,+2,116,19
East_Arnhem,11,9.0,+22,142,17,11.0,+55,219,28
Katherine,16,19.8,-19,155,39,21.4,+82,379,55
Barkly,6,10.8,-44,197,3,10.4,-71,98,9
Alice_Springs_Urban,24,25.0,-4,165,24,27.0,-11,165,48
Alice_Springs_Rural,26,23.0,+13,425,24,27.4,-12,392,50
