Indicator,Value,Period
Total_infectious_syphilis_cases,2996,1 Jul 2013 - 20 Aug 2025
Total_outbreak_cases_MJSO,2602,1 Jul 2013 - 20 Aug 2025
Pct_male_all_infectious,52,1 Jul 2013 - 20 Aug 2025
Pct_female_all_infectious,48,1 Jul 2013 - 20 Aug 2025
Congenital_cases_confirmed_probable,6 (5),1 Jul 2013 - 20 Aug 2025
Congenital_deaths,1,1 Jul 2013 - 20 Aug 2025
Notification_rate_per_100k_2025,191.1,Mar-Jul 2025
Notification_rate_per_100k_2024,104.6,Mar-Jul 2024
Notification_rate_pct_change,+82.7,Mar-Jul 2025 vs 2024
Testing_rate_per_1000_2025,270.8,Mar-Jul 2025
Testing_rate_per_1000_2024,241.8,Mar-Jul 2024
Testing_rate_pct_change,+12.0,Mar-Jul 2025 vs 2024
Test_positivity_per_1000_2025,145.0,Mar-Jul 2025
Test_positivity_per_1000_2024,141.1,Mar-Jul 2024
Test_positivity_pct_change,+2.8,Mar-Jul 2025 vs 2024
IMT_total_cases_2025,209,1 Mar - 20 Aug 2025
IMT_total_cases_2024,131,1 Mar - 20 Aug 2024
IMT_pct_male_2025,56,1 Mar - 20 Aug 2025
IMT_pct_female_2025,44,1 Mar - 20 Aug 2025
IMT_Aboriginal_cases_2025,190 (91%),1 Mar - 20 Aug 2025
IMT_Aboriginal_cases_2024,108 (82%),1 Mar - 20 Aug 2024
IMT_female_childbearing_age_2025,82 (89%),1 Mar - 20 Aug 2025
IMT_female_childbearing_age_2024,56 (92%),1 Mar - 20 Aug 2024
