Year,Under15_Count,Age15_19_Count,Age20_29_Count,Age30_39_Count,Age40plus_Count,Total_Count,Under15_Rate,Age15_19_Rate,Age20_29_Rate,Age30_39_Rate,Age40plus_Rate
2012,5,49,120,85,130,389,0.6,16.1,18.1,13.6,6.1
2013,7,40,109,76,101,333,0.8,13.0,16.2,12.0,4.6
2014,3,33,147,100,112,395,0.3,10.7,21.6,15.7,5.2
2015,5,45,207,132,184,573,0.5,14.7,30.3,20.4,8.4
2016,5,46,203,191,238,683,0.5,15.0,29.4,25.2,10.6
2017,7,105,390,285,292,1079,0.7,33.8,55.9,42.7,12.8
2018,0,90,370,308,357,1125,0.0,28.8,52.8,45.0,15.3
2019,10,107,384,320,312,1133,1.0,34.0,54.3,43.7,13.1
2020,5,84,302,300,304,995,0.5,26.6,42.9,41.9,12.9
2021,1,37,318,356,347,1059,0.1,11.6,46.1,49.0,13.9
2022,1,33,368,349,342,1093,0.1,10.0,51.4,48.4,13.4
2023,1,47,405,462,467,1382,0.1,13.5,55.3,64.3,16.7
2024,3,38,407,508,516,1472,0.3,10.9,55.6,66.4,19.7
