Region,HHS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North,Torres and Cape,20.0,63.2,47.1,69.4,117.3,147.9,129.7,118.8,57.9,89.3,42.5,49.8,91.9
North,North West,255.6,174.9,195.3,97.1,76.8,147.2,171.9,220.8,149.5,86.7,27.8,45.1,48.5
North,Cairns and Hinterland,5.4,7.3,13.7,40.5,71.5,76.9,49.4,47.1,17.6,27.8,31.2,31.4,43.6
North,Townsville,8.6,3.0,9.3,16.4,28.5,41.3,22.9,31.6,27.0,14.9,14.3,21.3,30.2
North,Mackay,1.7,2.3,2.3,2.9,1.7,5.7,8.0,6.2,13.3,11.5,16.6,34.8,26.9
Central,Central West,8.2,0.0,8.5,0.0,0.0,28.5,19.0,37.9,0.0,0.0,0.0,28.0,9.3
Central,Central Queensland,3.3,6.4,6.3,7.3,7.3,8.7,12.3,15.0,15.8,25.1,38.5,38.3,29.2
Central,Wide Bay,1.0,0.5,0.9,1.4,5.6,3.7,5.9,5.4,5.8,3.5,6.4,12.1,15.4
Central,South West,3.8,11.5,0.0,0.0,4.1,4.1,12.3,0.0,8.3,0.0,4.1,8.2,8.2
Central,Darling Downs,5.2,3.6,1.4,9.7,4.3,8.8,8.1,12.2,12.4,8.6,11.1,11.9,16.3
South East,Sunshine Coast,2.7,1.6,4.4,6.0,7.4,9.3,9.6,9.1,6.9,3.7,6.8,10.2,15.4
South East,Metro North,14.2,9.9,9.5,15.0,17.7,28.6,35.9,30.0,30.8,29.4,28.4,32.5,31.3
South East,Metro South,6.5,5.7,5.8,7.6,6.7,12.3,17.5,17.7,15.8,20.4,19.1,24.2,27.5
South East,West Moreton,3.2,3.1,2.3,3.7,4.3,15.5,14.7,22.6,23.7,21.6,21.5,25.9,34.6
South East,Gold Coast,4.8,6.9,11.7,12.7,8.0,20.9,20.1,18.6,15.1,22.6,21.3,26.1,19.0
,Queensland,8.5,7.2,8.4,12.0,14.1,21.9,22.5,22.3,19.3,20.3,20.5,25.3,27.0
